x,y,cat
-8.78213,-5.76514,1
-7.80936,-8.68652,1
-8.7367,-6.01389,1
-7.14084,-6.28717,1
-7.44391,-6.58597,1
-10.6787,-5.59342,1
-9.37096,-0.583253,1
-9.18716,-5.08926,1
-5.28033,-4.84214,1
-8.51185,-8.11492,1
-8.8579,-7.36821,1
-9.43546,-7.36508,1
-7.2098,-4.96629,1
-5.91219,-6.83511,1
-5.7343,-6.62471,1
-7.46488,-7.07858,1
-6.37935,-7.48131,1
-7.18634,-7.66729,1
-10.1022,-7.88046,1
-7.60011,-10.3046,1
-8.92053,-5.86786,1
-5.31848,-7.95705,1
-9.9991,-10.3047,1
-8.74456,-6.12213,1
-8.29913,-7.04853,1
-8.50936,-7.50843,1
-6.27032,-9.53445,1
-5.35714,-11.1095,1
-6.85078,-10.211,1
-5.28201,-4.34753,1
-10.7784,-6.10386,1
-9.47688,-9.67712,1
-7.47081,-6.41002,1
-11.7395,-8.90082,1
-7.51122,-6.29718,1
-10.6087,-7.5073,1
-4.28604,-12.1231,1
-4.95732,-6.13364,1
-9.48556,-7.83518,1
-9.85753,-6.77264,1
-7.56517,-5.24014,1
-9.79488,-9.51568,1
-6.54846,-9.87002,1
-7.81205,-5.85079,1
-4.53802,-7.70413,1
-6.32237,-3.32895,1
-6.42965,-6.10273,1
-10.8296,-7.42013,1
-13.3637,-5.57521,1
-6.10077,-5.62304,1
-10.1769,-9.88023,1
-6.90453,-6.04406,1
-7.71946,-8.7298,1
-5.63361,-3.31172,1
-9.04404,-4.34328,1
-6.96211,-7.85411,1
-6.12159,-8.53762,1
-7.66708,-3.26766,1
-7.85082,-6.06946,1
-10.0835,-2.57811,1
-6.86996,-6.95916,1
-8.85871,-8.313,1
-8.33789,-9.65959,1
-9.38246,-7.27476,1
-7.76599,-3.67279,1
-10.6378,-8.6088,1
-7.25984,-4.20965,1
-11.4258,-8.61669,1
-6.76384,-7.19371,1
-10.7854,-9.09294,1
-7.68138,-4.96532,1
-6.05475,-7.89097,1
-6.0144,-6.47266,1
-7.49389,-9.8409,1
-9.56127,-4.13104,1
-8.00087,-9.17386,1
-10.1516,-5.80556,1
-8.13704,-8.03019,1
-4.75523,-6.23905,1
-6.48497,-6.48967,1
-6.79977,-10.8664,1
-9.08,-8.8806,1
-7.8653,-7.47692,1
-9.31266,-9.35656,1
-6.02001,-7.60777,1
-8.4468,-3.22255,1
-7.349,-4.47315,1
-4.45247,-4.78262,1
-7.20447,-9.30026,1
-6.71014,-5.14387,1
-8.50364,-8.20799,1
-9.03814,-7.71761,1
-8.26577,-5.54503,1
-7.14574,-8.84658,1
-4.2719,-7.53695,1
-10.9579,-9.09862,1
-8.52999,-5.89501,1
-8.98979,-5.48284,1
-4.80629,-8.5436,1
-8.65705,-4.00845,1
-4.22511,0.366644,1
-5.81419,-1.22092,1
-4.96917,-1.05863,1
-5.10945,-2.83832,1
-3.69558,0.12674,1
-1.38265,0.51004,1
-2.36731,-3.09645,1
-6.47706,-1.72022,1
-6.801,0.364873,1
-5.75085,0.126358,1
-7.56933,1.01905,1
-5.13716,-1.27526,1
-5.31229,-3.7761,1
-4.78012,1.13426,1
-8.13402,0.0160365,1
-5.96591,-1.49135,1
-7.41749,2.2274,1
-4.01629,-1.46316,1
-7.95017,-2.79741,1
-9.19817,-0.487747,1
-6.35367,1.17794,1
-6.47507,2.42589,1
-5.7802,-4.33905,1
-4.5473,-2.05543,1
-4.39575,0.26648,1
-3.05086,0.450826,1
-7.83044,1.46931,1
-5.15603,0.520098,1
-4.16849,-1.74118,1
-4.53277,-0.0428741,1
-5.68367,-0.800299,1
-7.67784,-1.06958,1
-2.4031,1.60108,1
-8.40779,0.990116,1
-6.83318,-3.39596,1
-8.78744,1.25132,1
-5.8204,-1.83444,1
-3.09664,-1.85886,1
-7.2202,0.132246,1
-4.93294,-1.63443,1
-7.30728,-2.03307,1
-7.68662,3.29851,1
-5.24359,0.457121,1
-7.41233,-0.754065,1
-4.2485,0.100634,1
-6.2559,-0.584769,1
-2.92441,1.12322,1
-4.41247,-0.855398,1
-5.14291,0.599495,1
-3.79296,-3.56983,1
-3.04118,-1.55135,1
-4.06243,-0.505448,1
-2.37548,-0.414611,1
-5.42976,0.749902,1
-3.91039,-1.9693,1
-6.35338,-2.65702,1
-3.61314,0.138486,1
-2.7596,-0.0375397,1
-5.66471,-0.321088,1
-2.48596,-2.50206,1
-4.22531,-1.4267,1
-2.72565,-4.8629,1
-6.62627,0.884934,1
-7.2249,2.05052,1
-3.23035,-2.17153,1
-1.46049,0.0285123,1
-3.30413,-2.40289,1
-3.70435,-1.27731,1
-6.51101,-1.19396,1
-2.84734,-2.50564,1
-6.5977,-4.46496,1
-8.44584,0.476102,1
-4.97208,-1.55213,1
-4.79944,5.72606,1
-7.28446,1.43813,1
-4.82355,-0.189642,1
-6.10609,1.30043,1
-4.86153,-0.645551,1
-4.03699,-2.35202,1
-1.26308,-0.591604,1
-6.38554,-0.447497,1
-4.09294,-0.0350157,1
-4.92754,-2.17387,1
-6.03084,0.354965,1
-2.99403,-0.703607,1
-5.74916,-0.231255,1
-8.33408,-0.415172,1
-5.16251,0.50887,1
-7.3909,-3.76531,1
-2.43712,-3.05969,1
-6.94705,1.15285,1
-8.99551,1.58827,1
-4.89601,-1.43,1
-7.11555,-0.604827,1
-8.01632,-3.45598,1
-3.06723,-2.68647,1
-5.3307,-1.6038,1
-5.07232,-4.35165,1
-4.55988,1.26627,1
-7.20762,2.19667,1
-7.50324,0.860797,1
-7.90236,-0.709648,1
-13.694,3.15804,1
-6.65117,4.61557,1
-6.84069,2.40487,1
-10.7413,4.11005,1
-6.19715,-0.516942,1
-11.0627,0.374535,1
-8.29278,1.4388,1
-5.44268,0.577242,1
-9.81992,2.56196,1
-9.43818,3.72022,1
-6.20787,0.0345063,1
-8.05917,4.53639,1
-6.11412,2.15755,1
-7.63317,-0.500291,1
-8.3997,3.43716,1
-10.3856,2.78915,1
-7.85608,1.97507,1
-10.1709,4.54549,1
-7.28844,4.79923,1
-10.0838,-1.31784,1
-8.95048,0.0572577,1
-6.59258,-0.709058,1
-5.62972,4.40297,1
-7.9598,5.14097,1
-6.33979,2.22916,1
-10.0676,0.445452,1
-5.57714,1.51749,1
-11.5628,2.2763,1
-3.62741,1.08209,1
-7.03087,5.19566,1
-4.22409,3.19475,1
-7.70152,1.27552,1
-7.76178,-1.40813,1
-7.28854,2.58207,1
-6.12064,4.29108,1
-6.9234,3.10803,1
-11.5635,2.55591,1
-7.5065,-0.749046,1
-6.96325,0.635333,1
-7.77569,2.58079,1
-8.51634,3.46389,1
-8.19829,3.04103,1
-10.3917,0.940477,1
-6.0507,2.52957,1
-6.88057,-0.952601,1
-8.86542,0.615763,1
-8.27018,6.37742,1
-3.26988,4.63722,1
-11.1915,2.41592,1
-8.02604,-1.16957,1
-9.9404,0.968482,1
-4.86627,0.387377,1
-11.258,1.77648,1
-7.96274,1.24745,1
-5.40394,2.70835,1
-8.85897,2.39285,1
-7.69746,2.85152,1
-6.47052,1.25523,1
-11.322,1.19879,1
-6.453,0.58581,1
-5.38389,2.29484,1
-5.27451,2.75108,1
-6.9067,1.68592,1
-7.90947,-1.1349,1
-5.76536,0.385611,1
-9.08897,5.53124,1
-8.09265,3.54096,1
-9.55852,2.67258,1
-10.8163,3.03278,1
-3.65674,2.77854,1
-7.98001,-0.364312,1
-7.07953,3.36118,1
-4.45526,0.251849,1
-6.04481,0.513304,1
-4.34112,1.35536,1
-6.88112,1.50054,1
-6.59405,5.91439,1
-6.14726,2.03602,1
-9.00986,2.25998,1
-7.22531,2.88598,1
-9.80198,2.38884,1
-7.99398,1.30653,1
-10.4073,3.54497,1
-8.02244,2.75521,1
-8.94771,4.64267,1
-7.08114,0.854188,1
-7.65579,-0.14011,1
-11.3698,2.16369,1
-8.4157,-0.346543,1
-7.26257,-2.14581,1
-5.63674,7.19928,1
-9.24558,-0.105402,1
-4.33209,3.13061,1
-10.9007,5.20458,1
-9.32721,-3.06371,1
-7.23164,3.30351,1
-9.21037,1.87447,1
-8.22704,3.79426,1
-9.30488,9.38735,1
-9.26559,6.53411,1
-7.13922,6.34475,1
-7.35879,4.44016,1
-10.1649,4.77717,1
-4.77191,3.9401,1
-8.57139,8.43356,1
-8.57036,7.55561,1
-8.37074,6.27996,1
-6.73875,8.03923,1
-8.68051,6.99125,1
-8.0781,4.06865,1
-7.73746,6.01677,1
-10.48,2.78701,1
-8.25257,9.55549,1
-7.75674,3.53537,1
-8.63316,5.60118,1
-4.22281,5.36028,1
-8.87959,4.59299,1
-7.06269,5.90191,1
-6.07263,1.82362,1
-5.77735,7.49648,1
